Title,Description,Link
Announcing the 2022 ICESat-2 Atmospheric Applications Focus Session,"Join the NASA Ice, Cloud and land Elevation Satellite-2 (ICESat-2) Applications Team on Nov 16, 2022, for the ICESat-2 Atmospheric Applications and Forging Multi-mission Solutions Focus Session.",https://www.earthdata.nasa.gov//news/announcing-2022-icesat-2-atmospheric-applications-focus-session
Where Oceans Meet Atmosphere,Satellite data helps sea-going oceanographers pursue an elusive ocean layer.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/where-oceans-meet-atmosphere
Atmospheric Composition Variable Standard Names,,https://www.earthdata.nasa.gov//esdis/esco/standards-and-practices/acvsnc
Visible Infrared Imaging Radiometer Suite (VIIRS) - Atmosphere,,https://www.earthdata.nasa.gov//learn/find-data/near-real-time/viirs-a
Webinar: Learn How to Access and Acquire NASA Level-1 Data and Atmosphere Products from LAADS DAAC,"Join us for an overview of NASA's LAADS DAAC, its Level-1 and atmospheric data products, and to explore different options to search, discover, and acquire the data.",https://www.earthdata.nasa.gov//learn/webinars-and-tutorials/webinar-laads-22-sept-2021
"LAND, ATMOSPHERE NEAR REAL-TIME CAPABILITY FOR EOS (LANCE)",,https://www.earthdata.nasa.gov//learn/find-data/near-real-time/lance
Terra: Five Instruments—One Monumental Data Record,"After more than 20 years in space, the five instruments aboard NASA’s Terra satellite continue their singular achievement of compiling a climate data record of Earth.",https://www.earthdata.nasa.gov//learn/articles/terra-at-20
Webinar: Atmospheric Event-based Research using NASA's GHRC DAAC Tools and Services,"Join us for an interactive overview of tools and resources at NASA's Global Hydrometeorology Resource Center DAAC for accessing data related to hazardous weather, its governing dynamical and physical processes, and associated applications.",https://www.earthdata.nasa.gov//learn/webinars-and-tutorials/webinar-atmospheric-event-based-research-using-nasas-ghrc-daac-tools
The Case of the Missing Waves,Earth’s atmosphere works in mysterious ways.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/the-case-of-the-missing-waves
New Saildrone Dataset at NASA’s PO.DAAC,Data from the Atlantic Tradewind Ocean-Atmosphere Mesoscale Interaction Campaign (ATOMIC) shed new light on ocean-atmosphere interactions.,https://www.earthdata.nasa.gov//news/atomic-dataset-release
Highs and Lows of Temperature,Earth's atmosphere is more complex than previously thought.,https://www.earthdata.nasa.gov//learn/articles/highs-and-lows-temperature
User Profile: Dr. Emily Fischer,Our atmosphere is a chemical soup that is constantly sampled by orbiting Earth observing satellites. Dr. Emily Fischer uses these data to better understand how pollutants move in the lower atmosphere.,https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-emily-fischer
Blanket of Clouds,Measuring radiation fields during a cloud event to predict energy absorption in the atmosphere.,https://www.earthdata.nasa.gov//learn/articles/blanket-clouds
"OMPS, TROPOMI Instruments Set to Continue OMI's Long-Term Data Record",Data from the next-generation Instruments will help atmospheric scientists advance air quality measurements and standards.,https://www.earthdata.nasa.gov//learn/articles/omps-tropomi-continue-omi-ltdr
,,https://www.earthdata.nasa.gov//sensors/mls
Leaking Lakes,Bubbles large and small signal changes in the Arctic and in Earth’s atmosphere.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/leaking-lakes
EOSDIS Components,,https://www.earthdata.nasa.gov//eosdis/science-system-description/eosdis-components
Data Citations and Acknowledgements,,https://www.earthdata.nasa.gov//learn/use-data/data-citations-acknowledgements
Webinar: Improving Accessibility and Use of NASA Earth Science Data,"Learn how to leverage geospatial applications such as ArcGIS, OPeNDAP and ncWMS to analyze and visualize tropospheric and atmospheric chemistry data products at the ASDC DAAC on on Wednesday, April 29, 2 - 3PM ET.",https://www.earthdata.nasa.gov//learn/webinars-and-tutorials/webinar-improving-accessibility-and-use-nasa-earth-science-data
Through a Glass Darkly: Envisioning Ocean Heat Budget,"Since nearly three-quarters of the Earth's surface lie under water, heat flux between atmosphere and ocean significantly impacts global climate.",https://www.earthdata.nasa.gov//learn/articles/through-glass-darkly-envisioning-ocean-heat-budget
Ozone Monitoring Instrument (OMI),The Ozone Monitoring Instrument (OMI) aboard NASA's Aura satellite measures ozone from Earth's surface to top-of-atmosphere.,https://www.earthdata.nasa.gov//learn/find-data/near-real-time/omi
User Profile: Dr. Róisín Commane,"Who uses NASA Earth science data? Dr. Róisín Commane, to study the effects of terrestrial pollution on the atmosphere’s chemical composition.",https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-roisin-commane
User Profile: Dr. Steven D. Miller,Imagery of Earth at night provide unique opportunities for research. Dr. Miller uses these data in his studies of Earth’s nocturnal environment.,https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-steven-d-miller
The UARS Cornucopia: A Legacy of Research,"Nine years after its initial deployment, the Upper Atmosphere Research Satellite (UARS) is more than just an antiquated piece of metal floating around in space.",https://www.earthdata.nasa.gov//learn/articles/uars-cornucopia-legacy-research
User Profile: Abigail Nastan,Data from NASA’s Atmospheric Science Data Center helps system engineers like Abigail Nastan develop engaging new ways of partnering with data users to maximize the benefits of NASA Earth science missions.,https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-abigail-nastan
Microwave Limb Sounder (MLS) Near Real-Time Product remains at version 3 and the MLS Standard Product moves to version 4,"The Microwave Limb Sounder Near-Real Time (MLS NRT) products are provided by the Land, Atmosphere Near-real time Capability for EOS (LANCE).",https://www.earthdata.nasa.gov//news/mls-nrt-v3-vs-standard-v4
,,https://www.earthdata.nasa.gov//eosdis/daacs/gesdisc
User Profile: Dr. Chelle Gentemann,"Who Uses NASA Earth Science Data? Dr. Chelle Gentemann, to study the effects of sea surface temperature on the ocean and atmosphere.",https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-chelle-gentemann
Webinar: Learn How to View and Download Data from LAADS DAAC,"Join us to learn how to search and order datasets from NASA's Level-1 and Atmosphere Archive and Distribution System Distributed Active Archive Center (LAADS DAAC). Subsetting, reprojection, and data output post-processing operations in the Find Data tool will also be featured.",https://www.earthdata.nasa.gov//learn/webinars-and-tutorials/webinar-laads-27-april-2022
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/nitrogen-compounds
User Profile: Dr. Owen Cooper,Data from NASA’s Atmospheric Science Data Center help Dr. Owen Cooper monitor and track tropospheric ozone.,https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-owen-cooper
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-winds/wind-dynamics/convection
"Meet EMIT, the Newest Imaging Spectrometer",Data from the EMIT instrument help scientists better understand the role mineral dust plays in heating and cooling the atmosphere.,https://www.earthdata.nasa.gov//learn/articles/meet-emit
New Low Latency ICESat-2 Datasets,"The five new datasets are the result of a joint effort by NASA’s Satellite Needs Working Group Management Office (SNWG MO), ICESat-2 team, and Land, Atmosphere Near real-time Capability for EOS (LANCE).",https://www.earthdata.nasa.gov//learn/articles/icesat-2-ql
Webinar: Access and Visualize Model Data at NASA's GES DISC,"The NASA climate reanalysis dataset from MERRA-2 and the Land Data Assimilation System (LDAS) datasets, contains numerous data for atmosphere, land, and ocean. Join us to learn how to access and visualize these data!",https://www.earthdata.nasa.gov//learn/webinars-and-tutorials/webinar-access-and-visualize-model-data-nasas-ges-disc
MOPITT Data Now Available in LANCE,"Global carbon monoxide data from the MOPITT instrument aboard NASA’s Terra satellite are the newest near real-time products available through the Land, Atmosphere Near real-time Capability for EOS (LANCE).",https://www.earthdata.nasa.gov//learn/articles/mopitt-data-now-available-in-lance
,,https://www.earthdata.nasa.gov//topics/sun-earth-interactions
LAADS DAAC Joins NASA's EOSDIS Earthdata Forum,"NASA's Level-1 and Atmosphere Archive and Distribution System Distributed Active Archive Center has joined the Earthdata Forum, NASA's interactive platform that gives data users the chance to communicate with and learn from experts.",https://www.earthdata.nasa.gov//news/laads-joins-earthdata
,,https://www.earthdata.nasa.gov//topics/climate-indicators/carbon-flux
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/trace-gases-trace-species
On the Trail of Contrails,Clouds from aircraft exhaust can blanket the sky.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/on-the-trail-of-contrails
"User Profile: Dr. Margaret ""Maggie"" Glasscoe","NASA’s Land, Atmosphere Near real-time Capability for EOS (LANCE) helps scientists like Dr. Glasscoe assess risks and responses to natural hazards on a global scale.",https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-margaret-glasscoe
,,https://www.earthdata.nasa.gov//topics/atmosphere/air-quality
A Speck on the Ocean,A lonely platform at sea helps balance Earth's energy budget.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/a-speck-on-the-ocean
Sensors,"Sensors are instruments that collect data about Earth processes or atmospheric components. Along with being carried aboard satellites or aircraft, sensors also can be installed on the ground (in situ). There are two types of sensors: active and passive . Active sensors provide their own source of energy to illuminate the objects they observe; passive sensors detect energy emitted or reflected from the environment. The following list describes sensors aboard NASA and joint NASA missions.",https://www.earthdata.nasa.gov//sensors
Rooting Out Rainfall,Polar water fuels off-kilter rainfall in the tropics.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/rooting-out-rainfall
Webinar: Discover NASA’s Near Real-Time Data using LANCE,Join us to learn about NASA's Land Atmosphere Near real-time Capability for EOS (LANCE) system and available data. During this webinar we will describe the difference between NRT data and standard quality data and show you how to discover and access LANCE NRT data.,https://www.earthdata.nasa.gov//learn/webinars-and-tutorials/webinar-discover-nasas-near-real-time-data-using-lance
,,https://www.earthdata.nasa.gov//topics/atmosphere/air-quality/nitrogen-oxides
,,https://www.earthdata.nasa.gov//topics/atmosphere/clouds/cloud-properties/cloud-top-temperature
,,https://www.earthdata.nasa.gov//topics/atmosphere/clouds/cloud-properties/cloud-top-pressure
User Profile: Dr. Anna Wilson,Data from NASA’s GHRC DAAC helps scientists like Dr. Anna Wilson develop accurate representations of atmospheric rivers to increase forecast accuracy and improve weather model outputs.,https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-anna-wilson
Webinar: A Clearer View of the Haze – Using NASA GES DISC Data Tools to Examine the June 2020 Sahara Dust Event,Join us as we explore how GES DISC tools and data products can augment ongoing vital research on the dynamics of dust transport in Earth’s atmosphere. We will investigate the June 2020 Sahara Dust Event over Barbados as our use case.,https://www.earthdata.nasa.gov//learn/webinars-and-tutorials/webinar-ges-disc-23-sep-23-2020
A New Pole Hole,"In winter 2011, an ozone hole appeared over the Arctic for the first time.",https://www.earthdata.nasa.gov//learn/sensing-our-planet/a-new-pole-hole
LANCE Top 10 at 10,"NASA’s Land, Atmosphere Near Real-time Capability for EOS, better known as LANCE, is 10 years old. Here’s a look at 10 LANCE milestones over the past decade.",https://www.earthdata.nasa.gov//learn/articles/lance-at-10
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-winds/wind-dynamics
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-pressure/surface-pressure
,,https://www.earthdata.nasa.gov//topics/atmosphere/weather-events/weather-climate-advisories/weather-forecast
,,https://www.earthdata.nasa.gov//technology/sub-orbital-ordering-tool-soot
,,https://www.earthdata.nasa.gov//topics/atmosphere/air-quality/sulfur-oxides
Himalaya's Heat Pump,Polluted air over Asia is changing patterns in remote mountain ranges.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/himalaya-s-heat-pump
User Profile: Dr. Qing Liang,NASA’s wide range of atmospheric datasets help scientists like Dr. Qing Liang monitor and simulate concentrations of trace gases that impact ozone in the atmosphere.,https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-qing-liang
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/oxygen-compounds
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/nitrogen-compounds/nitric-oxide
Webinar:  Discover NASA’s Near Real-Time Data using LANCE,Join us to learn about NASA's Land Atmosphere Near real-time Capability for EOS (LANCE) system and available data. During this webinar we will describe the difference between NRT data and standard quality data and show you how to discover and access LANCE NRT data.,https://www.earthdata.nasa.gov//learn/webinars-and-tutorials/webinar-lance-14-feb-2020
,,https://www.earthdata.nasa.gov//topics/human-dimensions/natural-hazards/severe-storms
,,https://www.earthdata.nasa.gov//topics/atmosphere/precipitation
,,https://www.earthdata.nasa.gov//topics/cryosphere/snow-ice/snow-volume-budget/precipitation
,,https://www.earthdata.nasa.gov//topics/ocean/ocean-volume-budget/precipitation
Data Chat: Dr. Kurt Thome,Talking about 20 years of NASA's Terra mission and its significance with Terra Project Scientist Dr. Kurt Thome.,https://www.earthdata.nasa.gov//learn/data-chats/data-chat-dr-kurt-thome
,,https://www.earthdata.nasa.gov//topics/atmosphere/aerosols
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/hydrogen-compounds
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-radiation/airglow
,,https://www.earthdata.nasa.gov//topics/atmosphere/weather-events/fog
,,https://www.earthdata.nasa.gov//topics/atmosphere/clouds
,,https://www.earthdata.nasa.gov//topics/atmosphere/clouds/tropospheric-low-level-clouds-observed-analyzed/fog
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-temperature/surface-temperature/surface-boundary-layer-temperature
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-temperature/upper-air-temperature/upper-air-boundary-layer
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/halocarbons-and-halogens/hydrochlorofluorocarbons
,,https://www.earthdata.nasa.gov//sensors/jmr
LANCE: NASA Near Real-Time Data and Imagery,"NASA's Land, Atmosphere Near real-time Capability for EOS (LANCE) supports users interested in monitoring a wide variety of natural and human-created phenomena using near real-time (NRT) data and imagery that are made available much quicker than routine processing allows.",https://www.earthdata.nasa.gov//learn/find-data/near-real-time
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/nitrogen-compounds/peroxyacetyl-nitrate
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-pressure/air-mass-density
,,https://www.earthdata.nasa.gov//topics/land-surface/erosion-sedimentation/weathering
,,https://www.earthdata.nasa.gov//topics/human-dimensions/global-change-responses/climate-mitigation
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/sulfur-compounds
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-winds/upper-level-winds
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-water-vapor/water-vapor-processes/evapotranspiration
,,https://www.earthdata.nasa.gov//topics/atmosphere/air-quality/carbon-monoxide
,,https://www.earthdata.nasa.gov//sensors/amsu
,,https://www.earthdata.nasa.gov//topics/atmosphere/altitude/planetary-boundary-layer-height
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/sulfur-compounds/sulfur-dioxide
,,https://www.earthdata.nasa.gov//topics/atmosphere/air-quality/emissions
Geospatial Services,This data pathfinder links to geospatial web services provided by NASA's DAACs for use in a Geographic Information System.,https://www.earthdata.nasa.gov//learn/pathfinders/gis-pathfinder/geospatial-services
,,https://www.earthdata.nasa.gov//topics/ocean/ocean-pressure/sea-level-pressure
Find Data,"NASA acquires, archives, and distributes data from a variety of sources, including remote sensing instruments on satellite and airborne platforms, field campaigns, in situ measurements, and model outputs. These data span the breadth of Earth science disciplines and cover even the most remote areas of the planet, providing measurements of Earth’s atmosphere, ocean, land, and cryosphere; assessments about how humans interact with the environment; and assessments of calibrated radiance and solar radiance. These measurements help NASA better understand climate change, severe weather, sea ice and glaciers, hazards and disasters, health and air quality, ecology, and water resources. Through interagency and international partnerships, NASA also distributes and promotes Earth observation data from non-NASA missions.",https://www.earthdata.nasa.gov//learn/find-data
,,https://www.earthdata.nasa.gov//topics/biosphere/vegetation/reforestation
,,https://www.earthdata.nasa.gov//topics/sun-earth-interactions/ionosphere-magnetosphere-dynamics
,,https://www.earthdata.nasa.gov//sensors/hamsr
,,https://www.earthdata.nasa.gov//topics/atmosphere/altitude/mesopause
,,https://www.earthdata.nasa.gov//sensors/hsb
Freshwater Availability Toolkit,"Water is the fundamental ingredient for life on Earth. You can find it in the atmosphere above us, in the ocean, rivers and lakes around us, and in the rocks below us. Of all of the water on Earth, 97% is saltwater, leaving a mere 3% as freshwater, approximately 1% of which is readily available for our use. The world’s population is becoming more and more reliant on this precious resource for power, irrigation, industrial practices, and daily consumption.",https://www.earthdata.nasa.gov//learn/toolkits/freshwater-availability-toolkit
,,https://www.earthdata.nasa.gov//topics/climate-indicators
,,https://www.earthdata.nasa.gov//topics/atmosphere/air-quality/tropospheric-ozone
,,https://www.earthdata.nasa.gov//topics/biosphere/ecological-dynamics/ecosystem-functions/carbon-sequestration
,,https://www.earthdata.nasa.gov//technology/seawifs-bio-optical-archive-and-storage-system-seabass
,,https://www.earthdata.nasa.gov//sensors/ssm-i
,,https://www.earthdata.nasa.gov//topics/atmosphere/aerosols/dust-ash-smoke
,,https://www.earthdata.nasa.gov//topics/climate-indicators/atmospheric-ocean-indicators/teleconnections
,,https://www.earthdata.nasa.gov//sensors/tmi
,,https://www.earthdata.nasa.gov//topics/land-surface/geomorphic-landforms-processes/fluvial-processes/weathering
,,https://www.earthdata.nasa.gov//topics/land-surface/geomorphic-landforms-processes/glacial-processes/weathering
,,https://www.earthdata.nasa.gov//topics/land-surface/geomorphic-landforms-processes/karst-processes/weathering
,,https://www.earthdata.nasa.gov//topics/land-surface/geomorphic-landforms-processes/aeolian-processes/weathering
,,https://www.earthdata.nasa.gov//topics/biosphere/vegetation/solar-induced-fluorescence
,,https://www.earthdata.nasa.gov//topics/biosphere/ecosystems/anthropogenic-human-influenced-ecosystems
,,https://www.earthdata.nasa.gov//sensors/mopitt
,,https://www.earthdata.nasa.gov//topics/sun-earth-interactions/ionosphere-magnetosphere-dynamics/aurorae
,,https://www.earthdata.nasa.gov//sensors/aviris
,,https://www.earthdata.nasa.gov//topics/sun-earth-interactions/solar-activity/solar-irradiance
,,https://www.earthdata.nasa.gov//sensors/mwr
,,https://www.earthdata.nasa.gov//sensors/cats
,,https://www.earthdata.nasa.gov//sensors/polder
,,https://www.earthdata.nasa.gov//sensors/dial
,,https://www.earthdata.nasa.gov//sensors/omps
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-radiation/ultraviolet-radiation
,,https://www.earthdata.nasa.gov//topics/land-surface/surface-thermal-properties/land-surface-temperature
Fire Information for Resource Management System (FIRMS),"NASA’s Fire Information for Resource Management System (FIRMS) distributes near real-time (NRT) active fire data within three hours of a satellite observation from NASA’s Moderate Resolution Imaging Spectroradiometer (MODIS) and Visible Infrared Imaging Radiometer Suite (VIIRS). FIRMS is part of NASA’s Land, Atmosphere Near real-time Capability for EOS (LANCE).",https://www.earthdata.nasa.gov//learn/find-data/near-real-time/firms
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-radiation/solar-irradiance
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/halocarbons-and-halogens
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/halocarbons-and-halogens/chlorofluorocarbons
,,https://www.earthdata.nasa.gov//technology/lidar
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/carbon-and-hydrocarbon-compounds/methane
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/nitrogen-compounds/nitrous-oxide
,,https://www.earthdata.nasa.gov//topics/climate-indicators/atmospheric-ocean-indicators/sea-surface-temperature-indices/pacific-warm
,,https://www.earthdata.nasa.gov//topics/terrestrial-hydrosphere/surface-water/surface-water-processes-measurements
"ESDIS Weekly Metrics: January 20, 2022",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-01-20-2022
Webinar: Learn How to Subset Ozone Monitoring Instrument (OMI) Data with NASA's GES DISC Level 2 Data Subsetter,Join us to learn how to use NASA's GES DISC Level 2 Subsetter to subset SO2 swath data from the NASA Ozone Monitoring Instrument (OMI)!,https://www.earthdata.nasa.gov//learn/webinars-and-tutorials/webinar-learn-how-subset-ozone-monitoring-instrument-omi-data-nasas
Greenhouse Gases Data Pathfinder - Find Data,"This pathfinder provides links to commonly-used data on greenhouse gases and highlights data on carbon dioxide, methane, nitrous oxide, ozone, chlorofluorocarbons, and water vapor.",https://www.earthdata.nasa.gov//learn/pathfinders/greenhouse-gases-data-pathfinder/find-data
,,https://www.earthdata.nasa.gov//topics/atmosphere/atmospheric-chemistry/halocarbons-and-halogens/chlorine-dioxide
"ESDIS Weekly Metrics: June 2, 2022",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-june-2-2022
"ESDIS Weekly Metrics: February 10, 2022",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-02-10-2022
"ESDIS Weekly Metrics: May 05, 2022",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-05-05-2022
Near Real-Time VIIRS Dark Target Aerosol Product Now Available from NASA’s LANCE,"Based on the same MODIS algorithm, the new VIIRS Dark Target Aerosol product provides global satellite-derived measurements of Aerosol Optical Depth and aerosol properties over land and ocean.",https://www.earthdata.nasa.gov//news/viirs-nrt-dtaod-product
Measurements of Pollution in the Troposphere (MOPITT) SIPS,,https://www.earthdata.nasa.gov//eosdis/sips/mopitt-sips
DCOTSS 2022 Open Data Workshop,"The Dynamics and Chemistry of the Summer Stratosphere (DCOTSS) team is hosting a free open data workshop Dec 8, 2022, for anyone interested in learning how to access and conduct analysis on DCOTSS data.",https://www.earthdata.nasa.gov//news/dcotss-open-data-workshop-12-8-22
"ESDIS Weekly Metrics: September 22, 2022",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-september-22-2022
"ESDIS Weekly Metrics: December 8, 2022",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-december-08-2022
"ESDIS Weekly Metrics: April 13, 2023",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-april-13-2023
"ESDIS Weekly Metrics: March 16, 2023",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-march-16-2023
"ESDIS Weekly Metrics: March 23, 2023",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-march-23-2023
"ESDIS Weekly Metrics: May 4, 2023",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-may-4-2023
"ESDIS Weekly Metrics: September 01, 2022",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-september-01-2022
"ESDIS Weekly Metrics: March 30, 2023",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-march-30-2023
"ESDIS Weekly Metrics: April 27, 2023",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-april-27-2023
,,https://www.earthdata.nasa.gov//sensors/viirs
"Contributions of NASA’s AIRS Instrument Continue with CrIS, ATMS",Next-generation instruments aboard Joint Polar Satellite System spacecraft provide continuity to the AIRS project that began in 2002.,https://www.earthdata.nasa.gov//learn/articles/airs-data-continuity
"ESDIS Weekly Metrics: January 13, 2022",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-01-13-2022
"ESDIS Weekly Metrics: April 6, 2023",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-april-06-2023
Suomi NPP SIPS Help Ease the Transition from EOS to JPSS Satellites,Work by five Science Investigator-led Processing Systems (SIPS) enhance data continuity for next-generation instruments and missions.,https://www.earthdata.nasa.gov//learn/articles/snpp-sips-ease-transition
"ESDIS Weekly Metrics: June 23, 2022",,https://www.earthdata.nasa.gov//eosdis/system-performance-and-metrics/esdis-metrics/esdis-weekly-metrics/esdis-weekly-metrics-june-23-2022
MODIS Adaptive Processing System (MODAPS) SIPS,,https://www.earthdata.nasa.gov//eosdis/sips/modaps-sips
Health and Air Quality,"Outdoor air pollution contributes to millions of deaths every year, making it one of the biggest global health risks.",https://www.earthdata.nasa.gov//learn/backgrounders/health-and-air-quality
"Announcing NASA ACTIVATE Open Science Meeting November 7-9, 2022","NASA’s Aerosol Cloud meTeorology Interactions oVer the western ATlantic Experiment (ACTIVATE) team is hosting a free open data workshop on Nov 7 as part of its annual science team meeting scheduled for Nov 7-9, 2022 at the University of Arizona (Tucson, Arizona).",https://www.earthdata.nasa.gov//news/announcing-nasa-activate-open-science-meeting-november-7-9-2022
