Title,Description,Link
User Profile: Dr. Brian Mapes,"Who uses NASA Earth science data? Dr. Brian Mapes, to study large-scale weather and climate processes.",https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-brian-mapes
User Profile: Dr. Faisal Hossain,"For the people of Asia and Southeast Asia, water is integral to their livelihood. Dr. Hossain uses NASA Earth observing data to improve water management and accelerate economic development in these regions.",https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-faisal-hossain
,,https://www.earthdata.nasa.gov//topics/atmosphere/weather-events/monsoons
And the Winners Are . . .,See who took home top honors in the world’s largest global hackathon.,https://www.earthdata.nasa.gov//news/2020-space-apps-challenge-winners
When the Earth Moved Kashmir,Science and relief efforts come together in the aftermath of the 2005 Kashmir earthquake.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/when-the-earth-moved-kashmir
Worldview Snapshots Links to Rapid Response Subsets,"To assist in the transition from NASA's Rapid Response Subsets, this list of links is provided for users to go to the corresponding area in Worldview Snapshots.",https://www.earthdata.nasa.gov//worldview-snapshots-links-rapid-response-subsets
Karakoram Mountain Range,"Image captured on 29 April 2018, by the MODIS instrument, aboard the Terra satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/karakoram-mountain-range
Tropical Cyclone Tauktae,"Image captured on 17 May 2021, by the VIIRS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/tropical-cyclone-tauktae
Tropical Cyclone Amphan in the Bay of Bengal,"Image captured on 18 May 2020 at 12:10 UTC, by the AHI instrument, aboard the Himawari-8 satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/tropical-cyclone-amphan-in-the-bay-of-bengal
EOSDIS New Datasets: March 2018,,https://www.earthdata.nasa.gov//eosdis/eosdis-data-news-archive/eosdis-data-news-march-2018
EOSDIS New Datasets: April 2018,,https://www.earthdata.nasa.gov//eosdis/eosdis-data-news-archive/eosdis-data-news-april-2018
A Kink in the Jet Stream,Extreme weather events thousands of miles apart may be linked.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/a-kink-in-the-jet-stream
NASA Expands Contract with Planet Labs Inc. for Satellite Imagery,The contract expansion significantly broadens the availability of Planet imagery distributed by NASA’s Commercial Smallsat Data Acquisition (CSDA) program.,https://www.earthdata.nasa.gov//learn/articles/planet-contract-expansion
Agriculture and Water Management,,https://www.earthdata.nasa.gov//learn/agriculture
Himalaya's Heat Pump,Polluted air over Asia is changing patterns in remote mountain ranges.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/himalaya-s-heat-pump
Winter Blooms in the Arabian Sea,A tiny organism and its tenants make an unexpected appearance.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/winter-blooms-in-the-arabian-sea
EOSDIS New Datasets: June 2020,,https://www.earthdata.nasa.gov//eosdis/eosdis-data-news-archive/eosdis-data-news-june-2020
Measuring the World's Croplands,The Global Food Security-support Analysis Data (GFSAD) collection provides detailed maps of agricultural croplands around the world at 30-meter spatial resolution.,https://www.earthdata.nasa.gov//learn/articles/gfsad
Nighttime Images Show Changes in Human Activity,"Nighttime satellite images provide a unique global picture of how human activities are changing on a daily basis. Images from January 19 and February 4, 2020",https://www.earthdata.nasa.gov//learn/articles/nighttime-images-show-changes-human-activity
Eight Citizen Science Projects Receive NASA Funding,NASA’s Citizen Science for Earth Systems Program (CSESP) announces eight citizen science projects funded through the 2020 NASA Research Opportunities in Space and Earth Sciences (ROSES) solicitation.,https://www.earthdata.nasa.gov//learn/articles/csesp-roses-awards
NASA Announces Winners of 2022 Global Space Apps Challenge,Ten teams from around the globe took home top honors in the world’s largest annual hackathon addressing real-world problems on Earth and in space.,https://www.earthdata.nasa.gov//news/2022-space-apps-challenge-winners
An Earth System Data Record of Earth's Surface Mass Variations from GRACE and Geodetic Satellites,,https://www.earthdata.nasa.gov//esds/competitive-programs/measures/esdr-of-earth-s-surface-mass-variations
MOPITT Data Now Available in LANCE,"Global carbon monoxide data from the MOPITT instrument aboard NASA’s Terra satellite are the newest near real-time products available through the Land, Atmosphere Near real-time Capability for EOS (LANCE).",https://www.earthdata.nasa.gov//learn/articles/mopitt-data-now-available-in-lance
Effects of Emissions on Climate Change,Separating human-caused climate change from natural climatic variability.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/effects-of-emissions-on-climate-change
Matter in Motion: Earth's Changing Gravity,A new satellite mission sheds light on Earth's gravity field and provides clues about changing sea levels.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/matter-in-motion-earths-changing-gravity
Crazy Bad Air,Open sharing of pollution data helps Chinese netizens brave the politics of murky air.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/crazy-bad-air
SpaceML: Rise of the Machine (Learning),A global team is using artificial intelligence and machine learning to enable users to search for specific features in satellite imagery available through NASA’s Global Imagery Browse Services (GIBS).,https://www.earthdata.nasa.gov//learn/articles/spaceml
Fusing Five Satellite Instruments' Data Into One Dataset: Introducing Terra Fusion,"Terra Fusion, a new data product and toolkit, allows researchers to combine data from all five Terra instruments into one cohesive dataset.",https://www.earthdata.nasa.gov//learn/articles/introducing-terra-fusion
Lake Observations from Citizen Scientists and Satellites,,https://www.earthdata.nasa.gov//esds/competitive-programs/csesp/tracking-water-storage-in-lakes
Nighttime Lights,Backgrounder on VIIRS day/night band and its applications.,https://www.earthdata.nasa.gov//learn/backgrounders/nighttime-lights
Terra: Five Instruments—One Monumental Data Record,"After more than 20 years in space, the five instruments aboard NASA’s Terra satellite continue their singular achievement of compiling a climate data record of Earth.",https://www.earthdata.nasa.gov//learn/articles/terra-at-20
The Flood Hunters,"Researchers develop a long-term archive of satellite data that will help hydrologists monitor floods, allow aid agencies to pinpoint flood-prone regions, and provide information for modeling some of the Earth's complex hydrologic cycles.",https://www.earthdata.nasa.gov//learn/sensing-our-planet/the-flood-hunters
NASA FIRMS Helps Fight Wildland Fires in Near Real-Time,NASA’s worldwide Fire Information for Resource Management System (FIRMS) provides vital near real-time tools for managing wildland fires.,https://www.earthdata.nasa.gov//learn/articles/nasa-firms-helps-fight-wildland-fires-in-near-real-time
User Profile: Dr. Thomas A. Herring,"The Global Navigation Satellite System (GNSS) enables the precise location of points on Earth’s surface. For geodesists like Dr. Herring, it also is a key geodetic technique for his studies of surface deformation processes.",https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-thomas-herring
Rooting Out Rainfall,Polar water fuels off-kilter rainfall in the tropics.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/rooting-out-rainfall
When the Big Picture is Not Enough,A researcher pushes the limits of radar data to monitor small rice fields in the Philippines.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/when-the-big-picture-is-not-enough
User Profile: Dr. Piyush Agram,"Who uses NASA Earth science data? Dr. Piyush Agram, for developing Synthetic Aperture Radar (SAR) data products.",https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-piyush-agram
Sensing Invasive Species From Space,Invasive species cost the U.S. economy approximately $120 billion a year and disrupt the dynamics of ecosystems. Researchers are increasingly using remote sensing to map where invasive species are and where they could spread in order to minimize their damage.,https://www.earthdata.nasa.gov//learn/articles/sensing-invasive-species
Wildfires Can't Hide from Earth Observing Satellites,"Sensors aboard Earth observing satellites and NASA’s Fire Information for Resource Management System (FIRMS) provide information about wildfires 24/7 to anyone, anywhere in the world.",https://www.earthdata.nasa.gov//learn/articles/wildfire-articles/wildfires-cant-hide-from-earth-observing-satellites
User Profile: Dr. Kristy Tiampo,More than half of Earth’s population lives in urban environments. NASA Earth science data help Dr. Kristy Tiampo explore the hazards that can impact these areas.,https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-kristy-tiampo
Diseases Data Pathfinder,"Vector-borne diseases are responsible for over 17% of all the infectious diseases globally. Many of these diseases are preventable through protective measures, provided local authorities are aware of the potential outbreaks of the responsible vectors. This data pathfinder links to NASA datasets and tools that can aid with decisions regarding disease outbreaks that are often associated with environmental factors (seasonality, habitat suitability for vector, etc.) that NASA measurements can provide data to assess.",https://www.earthdata.nasa.gov//learn/pathfinders/diseases-data-pathfinder
New Tools for Diplomacy,Remote sensing plays a central role in the management of foreign policy.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/new-tools-for-diplomacy
User Profile: Dr. Navin Ramankutty,Approximately one-third of Earth’s ice-free land surface is devoted to agriculture and livestock. Dr. Ramankutty uses Earth observing data to help find pathways to more sustainable agricultural practices.,https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-navin-ramankutty
Extreme Heat Data Pathfinder,Extreme heat events lasting a few days to weeks at a time are occurring more frequently in major cities across the world and can have detrimental impacts on public health. NASA data can help forecast and monitor these events.,https://www.earthdata.nasa.gov//learn/pathfinders/disasters/extreme-heat-data-pathfinder
Air Quality,NASA LANCE near real-time data can be used by air quality forecasters to improve some local and national air quality forecasts.,https://www.earthdata.nasa.gov//learn/find-data/near-real-time/hazards-and-disasters/air-quality
User Profile: Lori Schultz,NASA near real-time data help Lori Schultz respond to agencies that reach out to NASA in the wake of natural disasters.,https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-lori-schultz
Data More Powerful than Hurricanes,New ways of looking at data help storm forecasters and emergency managers solve challenges and prevent hurricane losses.,https://www.earthdata.nasa.gov//learn/articles/data-more-powerful-hurricanes
Health and Air Quality Data Pathfinder,Air pollution is one of the largest global environmental and health threats. Instruments aboard NASA satellite and airborne platforms continually acquire data about these pollutants.,https://www.earthdata.nasa.gov//learn/pathfinders/air-quality-data-pathfinder
Health and Air Quality,"Outdoor air pollution contributes to millions of deaths every year, making it one of the biggest global health risks.",https://www.earthdata.nasa.gov//learn/backgrounders/health-and-air-quality
Diseases Data Pathfinder - Find Data,"Vector-borne diseases are responsible for over 17% of all the infectious diseases globally. Many of these diseases are preventable through protective measures, provided local authorities are aware of the potential outbreaks of the responsible vectors. This data pathfinder links to NASA datasets and tools that can aid with decisions regarding disease outbreaks that are often associated with environmental factors (seasonality, habitat suitability for vector, etc.) that NASA measurements can provide data to assess.",https://www.earthdata.nasa.gov//learn/pathfinders/diseases-data-pathfinder/find-data
COVID-19 Data Pathfinder,This data pathfinder links to NASA datasets/tools that can aid with decisions regarding the environmental impacts of changes in human behavior from COVID-19.,https://www.earthdata.nasa.gov//learn/pathfinders/covid-19
Water Quality Data Pathfinder - Find Data,Water quality can be remotely sensed and monitored by instruments aboard satellites and aircraft as well as sensors deployed on and under the water's surface.,https://www.earthdata.nasa.gov//learn/pathfinders/water-quality-data-pathfinder/find-data
Health and Air Quality Data Pathfinder - Find Data,Air pollution is one of the largest global environmental and health threats. Instruments aboard NASA satellite and airborne platforms continually acquire data about these pollutants.,https://www.earthdata.nasa.gov//learn/pathfinders/health-and-air-quality-data-pathfinder/find-data
Wildfires Data Pathfinder - Find Data,"Naturally occurring wildfires can be nearly as impossible to prevent, and as difficult to control, as hurricanes, tornadoes, and floods. Along with their destructive power, they also are a vital component of forest growth, ecological succession, and soil nutrient enhancement. NASA provides datasets and tools for assessing and managing wildfires before, during, and after an event.",https://www.earthdata.nasa.gov//learn/pathfinders/wildfires-data-pathfinder/find-data
EOSDIS Acronym and Symbol List,Acronym and symbol list for NASA's Earth Observing System Data and Information System.,https://www.earthdata.nasa.gov//learn/acronym-list
FIRMS Frequently Asked Questions,,https://www.earthdata.nasa.gov//faq/firms-faq
Agriculture and Water Management Data Pathfinder - Find Data,"Drought, vegetation health, and soil moisture all can be tracked remotely. This data pathfinder provides links to NASA Earth observations that help address issues like water management for irrigation, crop-type identification and land use, and drought preparedness.",https://www.earthdata.nasa.gov//learn/pathfinders/agricultural-and-water-resources-data-pathfinder/find-data
